Rank,RatingTomatometer,Title,No. of Reviews,URL
1,93%,Nomadland (2021),419,https://www.rottentomatoes.com//m/nomadland
2,96%,Judas and the Black Messiah (2021),341,https://www.rottentomatoes.com//m/judas_and_the_black_messiah
3,98%,The Father (2021),282,https://www.rottentomatoes.com//m/the_father_2021
4,94%,In the Heights (2021),351,https://www.rottentomatoes.com//m/in_the_heights_2021
5,99%,"Summer of Soul (...Or, When the Revolution Could Not Be Televised) (2021)",206,https://www.rottentomatoes.com//m/summer_of_soul
6,97%,Pig (2021),241,https://www.rottentomatoes.com//m/pig_2021
7,95%,The Power of the Dog (2021),277,https://www.rottentomatoes.com//m/the_power_of_the_dog
8,96%,CODA (2021),247,https://www.rottentomatoes.com//m/coda_2021
9,94%,Raya and the Last Dragon (2021),283,https://www.rottentomatoes.com//m/raya_and_the_last_dragon
10,98%,The Mitchells vs. The Machines (2021),184,https://www.rottentomatoes.com//m/the_mitchells_vs_the_machines
11,91%,A Quiet Place Part II (2021),349,https://www.rottentomatoes.com//m/a_quiet_place_part_ii
12,94%,Spider-Man: No Way Home (2021),278,https://www.rottentomatoes.com//m/spider_man_no_way_home
13,90%,The Suicide Squad (2021),359,https://www.rottentomatoes.com//m/the_suicide_squad
14,91%,Shang-Chi and the Legend of the Ten Rings (2021),321,https://www.rottentomatoes.com//m/shang_chi_and_the_legend_of_the_ten_rings
15,99%,MLK/FBI (2021),124,https://www.rottentomatoes.com//m/mlk_fbi
16,100%,Drive My Car (2021),93,https://www.rottentomatoes.com//m/drive_my_car
17,92%,West Side Story (2021),283,https://www.rottentomatoes.com//m/west_side_story_2021
18,97%,Shiva Baby (2021),151,https://www.rottentomatoes.com//m/shiva_baby
19,98%,The Velvet Underground (2021),120,https://www.rottentomatoes.com//m/the_velvet_underground_2021
20,100%,"Quo Vadis, Aida? (2021)",66,https://www.rottentomatoes.com//m/quo_vadis_aida
21,91%,Luca (2021),284,https://www.rottentomatoes.com//m/luca_2021
22,96%,The Sparks Brothers (2021),156,https://www.rottentomatoes.com//m/the_sparks_brothers
23,100%,Slalom (2021),59,https://www.rottentomatoes.com//m/slalom
24,98%,Flee (2021),100,https://www.rottentomatoes.com//m/flee
25,95%,Mass (2021),170,https://www.rottentomatoes.com//m/mass_2021
26,98%,Two of Us (Deux) (2021),97,https://www.rottentomatoes.com//m/two_of_us
27,100%,Beyond the Infinite Two Minutes (2021),47,https://www.rottentomatoes.com//m/beyond_the_infinite_two_minutes
28,100%,Luzzu (2021),47,https://www.rottentomatoes.com//m/luzzu
29,100%,Parallel Mothers (Madres paralelas) (2021),46,https://www.rottentomatoes.com//m/parallel_mothers
30,100%,Sabaya (2021),44,https://www.rottentomatoes.com//m/sabaya
31,99%,Identifying Features (Sin Señas Particulares) (2021),68,https://www.rottentomatoes.com//m/identifying_features
32,98%,Julia (2021),91,https://www.rottentomatoes.com//m/julia_2021
33,100%,Woodlands Dark and Days Bewitched: A History of Folk Horror (2021),42,https://www.rottentomatoes.com//m/woodlands_dark_and_days_bewitched_a_history_of_folk_horror
34,100%,Hive (2021),42,https://www.rottentomatoes.com//m/hive
35,100%,Paper Spiders (2021),42,https://www.rottentomatoes.com//m/paper_spiders
36,100%,The Woman Who Ran (2021),42,https://www.rottentomatoes.com//m/the_woman_who_ran
37,100%,Azor (2021),40,https://www.rottentomatoes.com//m/azor
38,89%,The Green Knight (2021),303,https://www.rottentomatoes.com//m/the_green_knight
39,96%,I'm Your Man (2021),130,https://www.rottentomatoes.com//m/im_your_man_2021
40,96%,Riders of Justice (2021),125,https://www.rottentomatoes.com//m/riders_of_justice
41,83%,Dune (2021),439,https://www.rottentomatoes.com//m/dune_2021
42,91%,King Richard (2021),238,https://www.rottentomatoes.com//m/king_richard
43,97%,I Carry You with Me (2021),90,https://www.rottentomatoes.com//m/i_carry_you_with_me
44,98%,The Tragedy of Macbeth (2021),65,https://www.rottentomatoes.com//m/the_tragedy_of_macbeth_2021
45,97%,Language Lessons (2021),87,https://www.rottentomatoes.com//m/language_lessons
46,98%,The Paper Tigers (2021),61,https://www.rottentomatoes.com//m/the_paper_tigers
47,94%,C'mon C'mon (2021),152,https://www.rottentomatoes.com//m/cmon_cmon
48,98%,Becoming Cousteau (Cousteau) (2021),53,https://www.rottentomatoes.com//m/becoming_cousteau
49,98%,Wheel of Fortune and Fantasy (2021),53,https://www.rottentomatoes.com//m/wheel_of_fortune_and_fantasy
50,84%,No Time To Die (2021),392,https://www.rottentomatoes.com//m/no_time_to_die_2021
51,97%,The Lost Leonardo (2021),76,https://www.rottentomatoes.com//m/the_lost_leonardo
52,96%,Billie Eilish: The World's a Little Blurry (2021),100,https://www.rottentomatoes.com//m/billie_eilish_the_worlds_a_little_blurry
53,96%,Petite Maman (2021),98,https://www.rottentomatoes.com//m/petite_maman
54,98%,My Heart Can't Beat Unless You Tell It To (2021),48,https://www.rottentomatoes.com//m/my_heart_cant_beat_unless_you_tell_it_to
55,98%,Hope (Håp) (2021),48,https://www.rottentomatoes.com//m/hope_2021
56,98%,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train (2021),47,https://www.rottentomatoes.com//m/demon_slayer_kimetsu_no_yaiba_the_movie_mugen_train
57,98%,Attica (2021),46,https://www.rottentomatoes.com//m/attica_2021
58,98%,Days (Rizi) (2021),44,https://www.rottentomatoes.com//m/days_2021
59,98%,7 Prisoners (7 prisioneiros) (2021),43,https://www.rottentomatoes.com//m/7_prisoners
60,98%,Playing with Sharks (2021),42,https://www.rottentomatoes.com//m/playing_with_sharks
61,98%,Drunk Bus (2021),42,https://www.rottentomatoes.com//m/drunk_bus
62,96%,The Rescue (2021),90,https://www.rottentomatoes.com//m/the_rescue_2021
63,98%,Boiling Point (2021),40,https://www.rottentomatoes.com//m/boiling_point_2021
64,95%,Rita Moreno: Just a Girl Who Decided to Go For It (2021),109,https://www.rottentomatoes.com//m/rita_moreno_just_a_girl_who_decided_to_go_for_it
